RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Tier
178,Matt Gay (IND),K16,0,0,0,199.0,+ 21,8
179,Kendre Miller (NO),RB60,0,0,0,190.0,+ 11,8
180,Jason Sanders (MIA),K17,0,0,0,179.0,-1,8
181,Los Angeles Chargers (LAC),DST14,0,0,0,192.0,+ 11,8
182,Brandin Cooks (DAL),WR56,0,0,0,160.0,-22,8
183,Tua Tagovailoa (MIA),QB18,0,0,0,115.0,-68,8
184,Cade Otton (TB),TE19,0,0,0,225.0,+ 41,8
185,Jacksonville Jaguars (JAC),DST15,0,0,0,250.0,+ 65,8
186,Green Bay Packers (GB),DST16,0,0,0,218.0,+ 32,8
187,Mike Williams (NYJ),WR57,0,0,0,147.0,-40,8
188,Washington Commanders (WAS),DST17,0,0,0,235.0,+ 47,8
189,New York Giants (NYG),DST18,0,0,0,249.0,+ 60,8
190,New Orleans Saints (NO),DST19,0,0,0,187.0,-3,8
191,Seattle Seahawks (SEA),DST20,0,0,0,191.0,-,8
192,Tampa Bay Buccaneers (TB),DST21,0,0,0,186.0,-6,8
193,Las Vegas Raiders (LV),DST22,0,0,0,208.0,+ 15,8
194,Chase McLaughlin (TB),K18,0,0,0,295.0,+ 101,8
195,Keon Coleman (BUF),WR58,0,0,0,102.0,-93,8
196,Roschon Johnson (CHI),RB61,0,0,0,243.0,+ 47,8
197,Dustin Hopkins (CLE),K19,0,0,0,267.0,+ 70,8
198,Minnesota Vikings (MIN),DST23,0,0,0,219.0,+ 21,8
199,Denver Broncos (DEN),DST24,0,0,0,222.0,+ 23,8
200,Matt Prater (ARI),K20,0,0,0,368.0,+ 168,8
201,Joshua Karty (LAR),K21,0,0,0,400.0,+ 199,8
202,DeMario Douglas (NE),WR59,0,0,0,189.0,-13,8
203,Cam Little (JAC),K22,0,0,0,287.0,+ 84,8
204,Romeo Doubs (GB),WR60,0,0,0,139.0,-65,8
205,Jake Bates (DET),K23,0,0,0,281.0,+ 76,8
206,Atlanta Falcons (ATL),DST25,0,0,0,203.0,-3,8
207,Luke Musgrave (GB),TE20,0,0,0,169.0,-38,8
208,Detroit Lions (DET),DST26,0,0,0,188.0,-20,8
209,Kirk Cousins (ATL),QB19,0,0,0,142.0,-67,8
210,Gabe Davis (JAC),WR61,0,0,0,166.0,-44,8
211,Baker Mayfield (TB),QB20,0,0,0,158.0,-53,8
212,Chigoziem Okonkwo (TEN),TE21,0,0,0,204.0,-8,8
213,Chicago Bears (CHI),DST27,0,0,0,181.0,-32,8
214,Jaylen Wright (MIA),RB62,0,0,0,163.0,-51,8
215,Matthew Stafford (LAR),QB21,0,0,0,148.0,-67,8
216,Anders Carlson (FA),K24,0,0,0,294.0,+ 78,8
217,Samaje Perine (FA),RB63,0,0,0,275.0,+ 58,8
218,Kenneth Gainwell (PHI),RB64,0,0,0,215.0,-3,8
219,Tank Bigsby (JAC),RB65,0,0,0,247.0,+ 28,8
220,Los Angeles Rams (LAR),DST28,0,0,0,255.0,+ 35,8
221,Taysom Hill (NO),TE22,0,0,0,195.0,-26,8
222,D'Onta Foreman (FA),RB66,0,0,0,272.0,+ 50,8
223,Noah Fant (SEA),TE23,0,0,0,239.0,+ 16,8
224,Tennessee Titans (TEN),DST29,0,0,0,251.0,+ 27,8
225,Aaron Rodgers (NYJ),QB22,0,0,0,134.0,-91,8
226,Chris Boswell (PIT),K25,0,0,0,277.0,+ 51,8
227,Kimani Vidal (LAC),RB67,0,0,0,227.0,-,8
228,Arizona Cardinals (ARI),DST30,0,0,0,276.0,+ 48,8
229,Juwan Johnson (NO),TE24,0,0,0,271.0,+ 42,8
230,Keaton Mitchell (BAL),RB68,0,0,0,265.0,+ 35,8
231,Dameon Pierce (HOU),RB69,0,0,0,232.0,+ 1,8
232,Rashid Shaheed (NO),WR62,0,0,0,171.0,-61,8
233,Wil Lutz (DEN),K26,0,0,0,286.0,+ 53,8
234,Nick Folk (TEN),K27,0,0,0,372.0,+ 138,8
235,New England Patriots (NE),DST31,0,0,0,238.0,+ 3,8
236,Daniel Carlson (LV),K28,0,0,0,205.0,-31,8
237,Darnell Mooney (ATL),WR63,0,0,0,176.0,-61,8
238,Geno Smith (SEA),QB23,0,0,0,182.0,-56,8
239,Justice Hill (BAL),RB70,0,0,0,248.0,+ 9,8
240,Ja'Lynn Polk (NE),WR64,0,0,0,183.0,-57,8
241,Carolina Panthers (CAR),DST32,0,0,0,407.0,+ 166,8
242,Dalvin Cook (FA),RB71,0,0,0,264.0,+ 22,8
243,Will Reichard (MIN),K29,0,0,0,236.0,-7,8
244,Eddy Pineiro (CAR),K30,0,0,0,430.0,+ 186,8
245,Cade York (WAS),K31,0,0,0,336.0,+ 91,8
246,Graham Gano (NYG),K32,0,0,0,285.0,+ 39,8
247,Wan'Dale Robinson (NYG),WR65,0,0,0,245.0,-2,8
248,Isaiah Likely (BAL),TE25,0,0,0,170.0,-78,8
249,Audric Estime (DEN),RB72,0,0,0,258.0,+ 9,8
250,Emari Demercado (ARI),RB73,0,0,0,563.0,+ 313,8
251,Josh Downs (IND),WR66,0,0,0,224.0,-27,8
252,Hayden Hurst (LAC),TE26,0,0,0,310.0,+ 58,8
253,Chad Ryland (FA),K33,0,0,0,303.0,+ 50,8
254,Jonnu Smith (MIA),TE27,0,0,0,217.0,-37,8
255,Michael Wilson (ARI),WR67,0,0,0,228.0,-27,8
256,Will Levis (TEN),QB24,0,0,0,185.0,-71,8
257,Eric Gray (NYG),RB74,0,0,0,280.0,+ 23,8
258,Dontayvion Wicks (GB),WR68,0,0,0,175.0,-83,8
259,Adonai Mitchell (IND),WR69,0,0,0,164.0,-95,8
260,Ty Johnson (BUF),RB75,0,0,0,520.0,+ 260,8
261,Daniel Jones (NYG),QB25,0,0,0,260.0,-1,8
262,Mike Gesicki (CIN),TE28,0,0,0,242.0,-20,8
263,Derek Carr (NO),QB26,0,0,0,193.0,-70,8
264,Sam Darnold (MIN),QB27,0,0,0,220.0,-44,8
265,Chris Rodriguez Jr. (WAS),RB76,0,0,0,604.0,+ 339,8
266,Demarcus Robinson (LAR),WR70,0,0,0,269.0,+ 3,8
267,Trey Sermon (IND),RB77,0,0,0,350.0,+ 83,8
268,Will Shipley (PHI),RB78,0,0,0,259.0,-9,8
269,Carson Steele (KC),RB79,0,0,0,254.0,-15,8
270,Zach Ertz (WAS),TE29,0,0,0,194.0,-76,8
271,Ben Sinnott (WAS),TE30,0,0,0,213.0,-58,8
272,Isaiah Davis (NYJ),RB80,0,0,0,860.0,+ 588,8
273,Dylan Laube (LV),RB81,0,0,0,354.0,+ 81,8
274,Jordan Mason (SF),RB82,0,0,0,288.0,+ 14,8
275,Cordarrelle Patterson (PIT),RB83,0,0,0,290.0,+ 15,8
276,Rashod Bateman (BAL),WR71,0,0,0,234.0,-42,8
277,Greg Dulcich (DEN),TE31,0,0,0,252.0,-25,8
278,Kyle Juszczyk (SF),RB84,0,0,0,292.0,+ 14,8
279,Tucker Kraft (GB),TE32,0,0,0,298.0,+ 19,8
280,Royce Freeman (FA),RB85,0,0,0,644.0,+ 364,8
281,Xavier Legette (CAR),WR72,0,0,0,168.0,-113,8
282,Evan Hull (FA),RB86,0,0,0,924.0,+ 642,8
283,Isaac Guerendo (SF),RB87,0,0,0,337.0,+ 54,8
284,DJ Chark Jr. (LAC),WR73,0,0,0,373.0,+ 89,8
285,Darius Slayton (NYG),WR74,0,0,0,319.0,+ 34,8
286,Deuce Vaughn (DAL),RB88,0,0,0,273.0,-13,8
287,Jase McClellan (ATL),RB89,0,0,0,619.0,+ 332,8
288,Gerald Everett (CHI),TE33,0,0,0,410.0,+ 122,8
289,Ameer Abdullah (LV),RB90,0,0,0,515.0,+ 226,8
290,Kendall Milton (PHI),RB91,0,0,0,,,8
291,Joey Slye (NE),K34,0,0,0,357.0,+ 66,8
292,Deneric Prince (FA),RB92,0,0,0,423.0,+ 131,8
293,Dawson Knox (BUF),TE34,0,0,0,233.0,-60,8
294,Michael Carter (FA),RB93,0,0,0,549.0,+ 255,8
295,Rasheen Ali (BAL),RB94,0,0,0,361.0,+ 66,8
296,Daniel Bellinger (NYG),TE35,0,0,0,341.0,+ 45,8
297,Tyler Higbee (LAR),TE36,0,0,0,283.0,-14,8
298,Bo Nix (DEN),QB28,0,0,0,178.0,-120,8
299,Nyheim Hines (CLE),RB95,0,0,0,646.0,+ 347,8
300,Cam Akers (HOU),RB96,0,0,0,274.0,-26,8
301,Theo Johnson (NYG),TE37,0,0,0,347.0,+ 46,8
302,Ja'Tavion Sanders (CAR),TE38,0,0,0,261.0,-41,8
303,DeWayne McBride (FA),RB97,0,0,0,358.0,+ 55,8
304,Jawhar Jordan (FA),RB98,0,0,0,858.0,+ 554,8
305,Bryce Young (CAR),QB29,0,0,0,214.0,-91,8
306,Michael Mayer (LV),TE39,0,0,0,266.0,-40,8
307,Blake Watson (DEN),RB99,0,0,0,794.0,+ 487,8
308,Ronnie Rivers (LAR),RB100,0,0,0,679.0,+ 371,8
309,D'Ernest Johnson (JAC),RB101,0,0,0,735.0,+ 426,8
310,Jalen McMillan (TB),WR75,0,0,0,309.0,-1,8
311,Kevin Harris (FA),RB102,0,0,0,386.0,+ 75,8
312,Jeremy McNichols (WAS),RB103,0,0,0,865.0,+ 553,8
313,Craig Reynolds (DET),RB104,0,0,0,492.0,+ 179,8
314,Isaiah Spiller (FA),RB105,0,0,0,797.0,+ 483,8
315,Dillon Johnson (FA),RB106,0,0,0,,,8
316,Hunter Luepke (DAL),RB107,0,0,0,641.0,+ 325,8
